GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Santorini,default,App,294,0,40,0,50,0,23,0,3,0
Santorini,default,App.Test,5,0,0,0,2,0,2,0,2,0
Santorini,default,Main,8,0,0,0,3,0,2,0,2,0
Santorini,gameboard,IslandBoard,0,78,0,4,0,21,0,6,0,4
Santorini,gameboard,Grid,27,191,1,11,10,49,7,15,6,10
Santorini,game,Player,9,38,0,0,3,9,2,4,2,4
Santorini,game,Cell,29,0,0,0,9,0,5,0,5,0
Santorini,game,GameState,202,0,24,0,49,0,18,0,6,0
Santorini,game,Game,277,346,43,23,61,71,36,23,13,13
Santorini,token,Minotaur,393,0,46,0,53,0,27,0,4,0
Santorini,token,Dome,0,3,0,0,0,1,0,1,0,1
Santorini,token,Tower,0,64,0,2,0,17,0,7,0,6
Santorini,token,Apollo,202,0,12,0,28,0,8,0,2,0
Santorini,token,Worker,99,404,26,32,15,60,22,20,4,9
Santorini,token,Block,0,9,0,0,0,4,0,2,0,2
Santorini,token,Demeter,309,0,36,0,50,0,24,0,6,0
Santorini,token,Pan,185,0,12,0,32,0,10,0,4,0
Santorini,token,Token,0,32,3,5,0,9,3,5,0,4
